"Country","Impressions","Clicks","CTR","Avg. Position"
"ww","669","12","1.79%","0"
"us","109","0","0%","0"
"jp","1","0","0%","0"
"it","2","0","0%","0"
"gb","22","0","0%","0"
"fr","0","0","0%","0"
"es","0","0","0%","0"
"de","2","0","0%","0"
"cn","0","0","0%","0"
"ca","8","0","0%","0"
"br","0","0","0%","0"
