"Country","Impressions","Clicks","CTR","Avg. Position"
"ww","749","12","1.6%","0"
"us","112","0","0%","0"
"jp","1","0","0%","0"
"it","2","0","0%","0"
"gb","22","0","0%","0"
"fr","0","0","0%","0"
"es","0","0","0%","0"
"de","2","0","0%","0"
"cn","0","0","0%","0"
"ca","9","0","0%","0"
"br","0","0","0%","0"
